t,o,h,l,c,v,oi,series,data_source
2024-05-27 13:27:00,49755.0,49767.95,49732.0,49746.7,8070.0,1981605.0,I,
2024-05-27 13:30:00,49757.4,49775.0,49747.05,49767.6,6795.0,1976595.0,I,
2024-05-27 13:33:00,49767.6,49770.2,49727.45,49727.75,7365.0,1978050.0,I,
2024-05-27 13:36:00,49736.9,49755.35,49725.0,49749.6,3495.0,1977270.0,I,
2024-05-27 13:39:00,49754.6,49763.9,49720.05,49723.0,7740.0,1972650.0,I,
2024-05-27 13:42:00,49723.0,49730.0,49680.05,49728.15,19215.0,1961565.0,I,
2024-05-27 13:45:00,49724.0,49742.15,49695.3,49705.0,4155.0,1958280.0,I,
2024-05-27 13:48:00,49700.0,49722.3,49690.0,49720.0,5025.0,1958805.0,I,
2024-05-27 13:51:00,49716.2,49716.2,49661.0,49669.55,6255.0,1958910.0,I,
2024-05-27 13:54:00,49663.0,49723.65,49622.0,49720.45,14880.0,1957005.0,I,
2024-05-27 13:57:00,49717.15,49729.0,49705.65,49724.65,4860.0,1943775.0,I,
2024-05-27 14:00:00,49724.65,49772.95,49724.65,49765.55,7725.0,1944975.0,I,
2024-05-27 14:03:00,49758.0,49779.95,49735.65,49779.95,9030.0,1944480.0,I,
2024-05-27 14:06:00,49776.95,49784.8,49744.5,49746.25,5010.0,1946220.0,I,
2024-05-27 14:09:00,49746.25,49758.5,49725.0,49734.0,5145.0,1944630.0,I,
2024-05-27 14:12:00,49746.85,49765.35,49701.35,49750.5,7140.0,1943280.0,I,
2024-05-27 14:15:00,49754.8,49761.9,49738.35,49739.15,5250.0,1941195.0,I,
2024-05-27 14:18:00,49739.15,49780.0,49739.15,49754.05,7200.0,1943115.0,I,
2024-05-27 14:21:00,49764.15,49790.0,49752.4,49752.4,7935.0,1940820.0,I,
2024-05-27 14:24:00,49752.4,49759.85,49728.5,49750.0,3810.0,1941705.0,I,
2024-05-27 14:27:00,49755.0,49777.3,49752.5,49765.0,5445.0,1942590.0,I,
2024-05-27 14:30:00,49760.15,49772.95,49750.0,49760.0,4320.0,1943490.0,I,
2024-05-27 14:33:00,49759.8,49764.0,49732.0,49745.0,4860.0,1942470.0,I,
2024-05-27 14:36:00,49745.0,49745.0,49700.0,49724.05,9540.0,1941555.0,I,
2024-05-27 14:39:00,49722.2,49736.2,49709.95,49711.9,7980.0,1941000.0,I,
2024-05-27 14:42:00,49711.0,49720.6,49656.05,49656.05,12510.0,1940505.0,I,
2024-05-27 14:45:00,49650.5,49677.7,49568.45,49587.9,52725.0,1937985.0,I,
2024-05-27 14:48:00,49591.5,49615.4,49481.75,49531.15,75120.0,1924440.0,I,
