t,o,h,l,c,v,oi,series,data_source
2024-05-27 15:12:00,22989.95,22998.1,22982.7,22985.0,57225.0,10711050.0,I,
2024-05-27 15:15:00,22985.0,22990.0,22981.0,22988.6,39600.0,10725450.0,I,
2024-05-27 15:18:00,22987.75,23024.9,22982.0,23023.65,75175.0,10724325.0,I,
2024-05-27 15:21:00,23024.45,23024.45,22992.0,23001.8,44625.0,10718150.0,I,
2024-05-27 15:24:00,23001.8,23005.85,22997.05,23005.0,54775.0,10719450.0,I,
2024-05-27 15:27:00,23003.05,23008.8,23000.0,23001.1,73650.0,10728825.0,I,
2024-05-28 09:15:00,23030.0,23030.0,22970.0,23007.55,96075.0,10206525.0,I,
2024-05-28 09:18:00,23008.9,23015.0,23000.15,23001.35,48900.0,10230125.0,I,
2024-05-28 09:21:00,22999.35,23019.0,22998.95,23008.05,39050.0,10236000.0,I,
2024-05-28 09:24:00,23010.0,23018.4,23005.9,23009.0,36925.0,10247725.0,I,
2024-05-28 09:27:00,23009.0,23023.4,23004.95,23020.5,32775.0,10248450.0,I,
2024-05-28 09:30:00,23020.5,23024.8,23001.1,23001.1,37725.0,10246325.0,I,
2024-05-28 09:33:00,23002.9,23008.7,22981.9,22984.8,60250.0,10257550.0,I,
2024-05-28 09:36:00,22982.5,23001.25,22977.0,23001.2,32325.0,10270375.0,I,
2024-05-28 09:39:00,23002.85,23013.85,22989.35,22993.8,50925.0,10279775.0,I,
2024-05-28 09:42:00,22992.2,23005.0,22985.0,23000.7,42675.0,10303850.0,I,
2024-05-28 09:45:00,23000.1,23011.0,22990.45,23008.75,41925.0,10314875.0,I,
2024-05-28 09:48:00,23012.0,23012.0,22994.1,22999.25,35825.0,10328650.0,I,
2024-05-28 09:51:00,22998.95,23010.85,22995.0,22995.2,35925.0,10329800.0,I,
2024-05-28 09:54:00,22997.5,23003.65,22986.85,22987.9,45425.0,10337450.0,I,
2024-05-28 09:57:00,22987.6,22988.45,22976.0,22987.0,54375.0,10336775.0,I,
2024-05-28 10:00:00,22987.0,23002.75,22985.55,22990.1,38450.0,10340925.0,I,
