date,symbol,series,total_v
2024-12-04,BANKNIFTY,I,1875840.0
2024-12-04,NIFTY,I,5935375.0
2024-12-05,BANKNIFTY,I,2258310.0
2024-12-05,NIFTY,I,12468000.0
2024-12-06,BANKNIFTY,I,2471640.0
2024-12-06,NIFTY,I,4386900.0
2024-12-09,BANKNIFTY,I,1403265.0
2024-12-09,NIFTY,I,3590100.0
2024-12-10,BANKNIFTY,I,1134465.0
2024-12-10,NIFTY,I,4028000.0
2024-12-11,BANKNIFTY,I,1212900.0
2024-12-11,NIFTY,I,3922400.0
2024-12-12,BANKNIFTY,I,1011705.0
2024-12-12,NIFTY,I,3541525.0
2024-12-13,BANKNIFTY,I,3447810.0
2024-12-13,NIFTY,I,11918075.0
2024-12-16,BANKNIFTY,I,1390050.0
2024-12-16,NIFTY,I,4606325.0
2024-12-17,BANKNIFTY,I,2200695.0
2024-12-17,NIFTY,I,7943650.0
2024-12-18,BANKNIFTY,I,2323410.0
2024-12-18,NIFTY,I,5562100.0
2024-12-19,BANKNIFTY,I,1760265.0
2024-12-19,NIFTY,I,4826575.0
2024-12-20,BANKNIFTY,I,2262540.0
2024-12-20,NIFTY,I,7737600.0
2024-12-23,BANKNIFTY,I,1628370.0
2024-12-23,NIFTY,I,5785575.0
2024-12-24,BANKNIFTY,I,1397100.0
2024-12-24,NIFTY,I,6188850.0
2024-12-26,BANKNIFTY,I,1460175.0
2024-12-26,NIFTY,II,6131975.0
2024-12-27,BANKNIFTY,I,1051770.0
2024-12-27,NIFTY,I,4932400.0
2024-12-30,BANKNIFTY,I,2397165.0
2024-12-30,NIFTY,I,5749600.0
2024-12-31,BANKNIFTY,I,1010610.0
2024-12-31,NIFTY,I,5152425.0
2025-01-01,BANKNIFTY,I,1446255.0
2025-01-01,NIFTY,I,4393225.0
2025-01-02,BANKNIFTY,I,1424835.0
2025-01-02,NIFTY,I,8475450.0
2025-01-03,BANKNIFTY,I,1713840.0
2025-01-03,NIFTY,I,6550100.0
2025-01-06,BANKNIFTY,I,2298105.0
2025-01-06,NIFTY,I,9534850.0
2025-01-07,BANKNIFTY,I,1389930.0
2025-01-07,NIFTY,I,4250825.0
2025-01-08,BANKNIFTY,I,1865415.0
